# global_mean_temp amazon_mean_temp congo_mean_temp seasia_mean_temp
2.893742324776661690e+02 3.028562650487961037e+02 3.000276885154295314e+02 3.029187989555036324e+02
2.888303502256283650e+02 3.037510695802876626e+02 3.004414052819641370e+02 3.031511262885781548e+02
2.883333520529784550e+02 3.023261839697440223e+02 2.992801866967123487e+02 3.026047216385059073e+02
2.879172835069535950e+02 3.019010711445143897e+02 2.990984399303632131e+02 3.026175207408592769e+02
2.885795224355334767e+02 3.028826359832037269e+02 3.006504351966067361e+02 3.026698022861231721e+02
2.882898381194552258e+02 3.022208841839459410e+02 2.994981933617297045e+02 3.029591847966187288e+02
2.882786526504573885e+02 3.023482156535483796e+02 2.992995081892119629e+02 3.028139046120182343e+02
2.880039062434504444e+02 3.017713726807875787e+02 2.986679347209731077e+02 3.022430977176355782e+02
2.886569647792679802e+02 3.032048512336986050e+02 3.009103514416951271e+02 3.027963665098551473e+02
2.877490663689678172e+02 3.017583437240927537e+02 2.983132520371578948e+02 3.020089101214933862e+02
2.885427234478142395e+02 3.030522797457323918e+02 3.000075571640687144e+02 3.027069808682225016e+02
2.883225179474848119e+02 3.025796810689776635e+02 2.997568746738438676e+02 3.028642874155042364e+02
2.874509460238277825e+02 3.009151339982944364e+02 2.978853918438477990e+02 3.018026877266260612e+02
2.887946809611993899e+02 3.017595122354048840e+02 2.988820120567544336e+02 3.025118114580451447e+02
2.873375210989030393e+02 3.000091198762173690e+02 2.975238315557469377e+02 3.022145216936479528e+02
2.897640179448081881e+02 3.030715283441569454e+02 3.012411932979751441e+02 3.032837055346154216e+02
2.893333919423232601e+02 3.025988705930878382e+02 3.007097672848411776e+02 3.041228095129127382e+02
2.888085607203141194e+02 3.027544620992847513e+02 2.996853072364360173e+02 3.032080166124189873e+02
2.886932077549870428e+02 3.027293110192821928e+02 2.999405187225409577e+02 3.031473939091901002e+02
2.899841411638149680e+02 3.044752363141017781e+02 3.018843708514821174e+02 3.038370849168827590e+02
2.894963055821587545e+02 3.031656199068456203e+02 3.003358929773492605e+02 3.029400152155585033e+02
2.878091571882397375e+02 2.997108528795105826e+02 2.968495894721232844e+02 3.016304614134955386e+02
2.896268862179591110e+02 3.029558963503172890e+02 3.009577549614544409e+02 3.042391655419867220e+02
2.877208556703524209e+02 3.021295685711705232e+02 2.992565460154115158e+02 3.022084508549421571e+02
2.879303396586446979e+02 3.014455003609075447e+02 2.985076431674211790e+02 3.023627157706556545e+02
2.898000045802307909e+02 3.045023700397865696e+02 3.015877758486901143e+02 3.035928632518704262e+02
2.897156909119684087e+02 3.032455603106122908e+02 3.015266076189370210e+02 3.042526765078516746e+02
2.896976438620754379e+02 3.022039945055613543e+02 3.001485397878314529e+02 3.034419490178067917e+02
2.875747263655404140e+02 3.013322752511674025e+02 2.989414133111043839e+02 3.022489530290231983e+02
2.901413063138310804e+02 3.042372145336661333e+02 3.020105193151623553e+02 3.044638064878143382e+02
2.890742247709434309e+02 3.027808845802887276e+02 3.006448882620097152e+02 3.039253677568577245e+02
2.899321932836336373e+02 3.043520552482464154e+02 3.019729777643223656e+02 3.042432035265840682e+02
2.870452751100290811e+02 2.997776957794354757e+02 2.969685160922696809e+02 3.016899770882186544e+02
2.886039258710219997e+02 3.030266258153660601e+02 2.996508999315434494e+02 3.031158890599047027e+02
2.896189181707253510e+02 3.025520316140356272e+02 2.995742382131686554e+02 3.032173867265471472e+02
2.884103214124846204e+02 3.025624975332722784e+02 2.997868428958240656e+02 3.027400316204736441e+02
2.879172802195631107e+02 3.015871899624549428e+02 2.983879517114780242e+02 3.021427710903903403e+02
2.886598700199719474e+02 3.031807216508870511e+02 3.004966858603970650e+02 3.026355699977953577e+02
2.896290838287002316e+02 3.031689332125989722e+02 3.011708684484596006e+02 3.042827003677418816e+02
2.865920862686717783e+02 2.983961382696658688e+02 2.956018358560023103e+02 3.011896905762171173e+02
2.896716028381115393e+02 3.024403510897049046e+02 2.999826064022403216e+02 3.034157125688247447e+02
2.894753111225070370e+02 3.026203837647519208e+02 3.002324491271960483e+02 3.029531377566618175e+02
2.888703495894920934e+02 3.029632231953294763e+02 3.005835736123890456e+02 3.032835095595686994e+02
