ÓBIDOS   
 obs upstream area=4.67e+06 
 mod upstream area=4.61644e+06 
 mod gridbox area=2.55505e+09 
 obs longitude=-55.5131 
 obs latitude=-1.9192
 datem rflowobs rflowS0_rescale rflowS1_rescale rflowS2_rescale rflowS3_rescale
 1907.87 -999.0 49937.1322057 49959.3601487 49970.0817491 49970.0817491
 1907.96 -999.0 54470.4482531 54492.204388 54514.6345345 54514.6345345
 1908.04 -999.0 63196.4974207 63234.8246147 63259.0938503 63259.0938503
 1908.12 -999.0 96476.0707283 96541.8253842 96583.8066845 96583.8066845
 1908.2 -999.0 133195.323139 133277.822171 133319.042801 133319.042801
 1908.29 -999.0 152021.095838 152083.153058 152128.350357 152128.350357
 1908.37 -999.0 149899.932868 149964.95574 149998.107487 149998.107487
 1908.45 -999.0 144500.261437 144565.611686 144593.313567 144593.313567
 1908.54 -999.0 120323.066916 120372.828237 120395.503917 120395.503917
 1908.62 -999.0 95983.4259468 96021.0165422 96039.8214687 96039.8214687
 1908.71 -999.0 78257.14928 78287.3450042 78303.9208777 78303.9208777
 1908.79 -999.0 67403.7266068 67434.9044624 67448.0380619 67448.0380619
 1908.87 -999.0 60961.4168452 60993.9186524 61009.2572329 61009.2572329
 1908.96 -999.0 64399.9453142 64430.0110505 64460.5678524 64460.5678524
 1909.04 -999.0 73522.8525718 73564.9831176 73603.4402995 73603.4402995
 1909.12 -999.0 89376.8499047 89453.860556 89490.7963972 89490.7963972
 1909.2 -999.0 116116.742832 116212.385092 116255.252236 116255.252236
 1909.29 -999.0 139838.806136 139933.678098 139965.866971 139965.866971
 1909.37 -999.0 166287.294918 166380.250761 166411.274557 166411.274557
 1909.45 -999.0 157896.138093 157975.315211 158003.25781 158003.25781
 1909.54 -999.0 139275.033863 139335.069048 139364.735191 139364.735191
 1909.62 -999.0 117328.115177 117369.788358 117394.717162 117394.717162
 1909.71 -999.0 90995.652695 91032.8485122 91049.7565772 91049.7565772
 1909.79 -999.0 72213.3441227 72251.4787419 72265.2478381 72265.2478381
 1909.87 -999.0 57223.5212645 57263.7597631 57275.2612914 57275.2612914
 1909.96 -999.0 56691.8704629 56738.2617255 56754.1058148 56754.1058148
 1910.04 -999.0 67294.5752261 67353.8930702 67382.2063761 67382.2063761
 1910.12 -999.0 86534.1670375 86621.6248702 86661.4011893 86661.4011893
 1910.2 -999.0 102383.484803 102475.593317 102511.392967 102511.392967
 1910.29 -999.0 123557.947564 123651.548532 123688.301427 123688.301427
 1910.37 -999.0 138603.843381 138705.522861 138741.775062 138741.775062
 1910.45 -999.0 142919.800284 143011.562163 143054.150073 143054.150073
 1910.54 -999.0 131222.202026 131292.039267 131329.716521 131329.716521
 1910.62 -999.0 111360.357797 111421.346227 111444.994409 111444.994409
 1910.71 -999.0 88301.4064621 88347.9999281 88366.5063637 88366.5063637
 1910.79 -999.0 64323.2957406 64366.3650884 64379.5757177 64379.5757177
 1910.87 -999.0 51582.3032967 51628.4923557 51641.062674 51641.062674
 1910.96 -999.0 58963.357299 59019.2039829 59043.8872543 59043.8872543
 1911.04 -999.0 70508.0945172 70591.0749864 70620.3126512 70620.3126512
 1911.12 -999.0 79026.148488 79124.4193941 79166.1984909 79166.1984909
 1911.2 -999.0 99980.0938773 100087.974264 100140.566435 100140.566435
 1911.29 -999.0 117232.415144 117320.604761 117386.706051 117386.706051
 1911.37 -999.0 133467.363891 133569.977358 133630.792471 133630.792471
 1911.45 -999.0 139135.792674 139244.414474 139288.331151 139288.331151
 1911.54 -999.0 135390.925886 135486.510374 135519.036253 135519.036253
 1911.62 -999.0 100459.951694 100527.583954 100547.602101 100547.602101
 1911.71 -999.0 77013.1355108 77063.1038497 77078.2979992 77078.2979992
 1911.79 -999.0 59814.9470124 59859.8410061 59875.6032512 59875.6032512
 1911.87 -999.0 48925.6909885 48968.639977 48987.3438018 48987.3438018
 1911.96 -999.0 56033.630635 56087.5226849 56116.3318708 56116.3318708
 1912.04 -999.0 72833.5841338 72915.1395497 72964.539793 72964.539793
 1912.12 -999.0 96939.1167674 97071.627468 97130.0450251 97130.0450251
 1912.2 -999.0 124176.237755 124314.121292 124369.505797 124369.505797
 1912.29 -999.0 123754.07534 123873.635388 123924.966193 123924.966193
 1912.37 -999.0 144904.11962 145049.070651 145096.107039 145096.107039
 1912.45 -999.0 151624.921388 151766.165354 151803.765579 151803.765579
 1912.54 -999.0 126272.751154 126381.989193 126411.193157 126411.193157
 1912.62 -999.0 100178.051114 100260.116853 100280.173516 100280.173516
 1912.71 -999.0 80679.5040068 80743.8528669 80760.7561175 80760.7561175
 1912.79 -999.0 67473.9008537 67526.3534072 67549.0290866 67549.0290866
 1912.87 -999.0 60636.321744 60694.2530498 60717.8338306 60717.8338306
 1912.96 -999.0 59701.6986034 59774.9059029 59801.1057006 59801.1057006
 1913.04 -999.0 67632.1876875 67742.0564093 67769.1564941 67769.1564941
 1913.12 -999.0 89471.0285969 89629.4598618 89679.5678174 89679.5678174
 1913.2 -999.0 108617.727153 108753.858259 108812.198786 108812.198786
 1913.29 -999.0 140208.020118 140366.191407 140442.065867 140442.065867
 1913.37 -999.0 169771.338435 169940.30354 170012.037642 170012.037642
 1913.45 -999.0 170397.476048 170536.341716 170589.415323 170589.415323
 1913.54 -999.0 137475.307074 137582.917857 137621.28838 137621.28838
